Command,Count,% Over total
/System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/mdworker-bundle,12,0.05%
ln,12,0.05%
xmllint,11,0.05%
/Users/maria/Desktop/AppleApps,11,0.05%
ifconfig,11,0.05%
sqlite3,11,0.05%
sh -c /bin/launchctl,11,0.05%
/Users/test/Desktop/sample,11,0.05%
/Users/test/Desktop/file,11,0.05%
/Users/maria/Desktop/mob-virustotal-macos-amd,11,0.05%
/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/N/Support/mdworker_shared,11,0.05%
sort,11,0.05%
sudo,10,0.05%
xargs,10,0.05%
/Library/Developer/CommandLineTools/usr/bin/python3,10,0.05%
/Users/maria/Desktop/bitcoind,10,0.05%
login,9,0.04%
/Users/maria/Desktop/UnixProject,9,0.04%
/bin/cat,9,0.04%
/bin/date,9,0.04%
/usr/bin/shlock,9,0.04%
/usr/bin/find,9,0.04%
/usr/bin/wc,9,0.04%
/usr/bin/touch,9,0.04%
/usr/bin/open,9,0.04%
logger,9,0.04%
/usr/libexec/path_helper,9,0.04%
/Users/root/unix1,9,0.04%
/Users/maria/Desktop/launcher,9,0.04%
/Users/maria/Desktop/installer,9,0.04%
/bin/echo,8,0.04%
/Users/bruno/Desktop/Crack_Installer,8,0.04%
/Users/maria/Desktop/disk_image.x64,8,0.04%
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python,8,0.04%
tail,8,0.04%
sh -c uname,8,0.04%
tor,8,0.04%
APPBKPNAME=$(cat,8,0.04%
TRASHPATH='$HOME/.Trash/._$APPBKPNAME',8,0.04%
/Users/maria/Desktop/tool,8,0.04%
/Users/maria/Desktop/LicenseInstaller,8,0.04%
sh -c [,8,0.04%
/usr/libexec/PlistBuddy,7,0.03%
sh -c ioreg,7,0.03%
local,7,0.03%
sh -c ifconfig,7,0.03%
mdls,7,0.03%
/Users/maria/Desktop/Crack_Installer,7,0.03%
/Users/bruno/Desktop/disk_image.arm64,7,0.03%
/Users/maria/Desktop/Notion,7,0.03%
/bin/zsh,7,0.03%
/usr/bin/nohup,7,0.03%
/usr/bin/env,7,0.03%
sh -c #!/bin/sh#,7,0.03%
/Users/maria/Desktop/bin/java,6,0.03%
/Users/maria/Desktop/GUI,6,0.03%
/Users/maria/Desktop/com.eagleyun.sase.helper,6,0.03%
/Users/maria/Desktop/setup,6,0.03%
/proc/self/exe,6,0.03%
/tmp/LRFKqYUqfJ,6,0.03%
sh -c hdiutil,6,0.03%
./Ravenwise,6,0.03%
/Users/maria/Desktop/sample.bin,6,0.03%
/Users/maria/Desktop/Contents/MacOS/RecoveryDisk.app/Contents/MacOS/RecoveryDisk,6,0.03%
/Users/maria/Desktop/Notion-3-2-0-universal,6,0.03%
date,6,0.03%
sh -c defaults,6,0.03%
/Users/maria/Desktop/Skim's,6,0.03%
/Users/maria/Desktop/zinfandel,6,0.03%
/Users/user1/Desktop/Install,5,0.02%
/System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2,5,0.02%
chflags,5,0.02%
/Users/maria/Desktop/qbittorrent,5,0.02%
hostname,5,0.02%
/usr/bin/python3,5,0.02%
/usr/bin/sed,5,0.02%
clear,5,0.02%
caffeinate,5,0.02%
/Users/bruno/Desktop/ArcSetup,5,0.02%
/usr/libexec/diagnosticd,5,0.02%
log,5,0.02%
/bin/chmod,5,0.02%
/Users/maria/Desktop/gs-dbus,5,0.02%
/Users/maria/.services/services,5,0.02%
/Library/AppQuest/com.apple.questd,5,0.02%
/Users/bruno/Desktop/zinfandel,5,0.02%
sh -c rm,5,0.02%
/Users/maria/Desktop/com.apple.afsvcpd,5,0.02%
/Users/maria/Desktop/riesling,5,0.02%
sh -c cp,5,0.02%
