Command,Count,% Over total
/Users/user1/Desktop/c0f849ccdd584c38daf56edb066e8c54956447f8211a251bc03df7fbf77a,1,0.00%
/Users/maria/Desktop/761478fa347422a1b516f34458fc99e2fc82235f80012d88b8f9981159d4,1,0.00%
/Users/maria/Desktop/nQKTMdr0CP,1,0.00%
/Users/user1/Desktop/6c6eae82b50c1d84d15dffda86fd176c61dfeb6fcd56886c9d746f5451d8,1,0.00%
/Users/maria/Desktop/HEARD,1,0.00%
/Users/maria/Desktop/47e0389554fc766d9589f27e485234847b9b960c5ac08813d0684bfb61a7,1,0.00%
/Users/maria/Desktop/YEQ01AoItm,1,0.00%
/Users/maria/Desktop/DPysMac64,1,0.00%
/Users/maria/Desktop/620448731.txt,1,0.00%
/Users/maria/Desktop/IJEHBMwPfR,1,0.00%
/Users/maria/Desktop/JDaagNKEn0,1,0.00%
/Users/maria/Desktop/630338449.txt,1,0.00%
/Users/maria/Desktop/3de47c31f2cb10b41e2748ab413554c6a0d0896f1df1fe5629b49d0be91d,1,0.00%
/Users/maria/Desktop/H0GRd213h0,1,0.00%
/Users/maria/Desktop/7nvwAXSlno,1,0.00%
/Users/maria/Desktop/ini.js,1,0.00%
/Users/maria/Desktop/c8cbe6914a8ce78d4fc95f599db76f05e1c18fa9db5a3db310156d5e0b1d,1,0.00%
/Users/maria/Desktop/TSAZ4aNIz1,1,0.00%
/Users/maria/Desktop/Y5zxyHhA9E,1,0.00%
/Users/user1/Desktop/85378f2027f5c5fd74cfb698806342072df73ea654883c095762bae33f2e,1,0.00%
/Users/maria/Desktop/D61Hk7o90r,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.oO95E9oo/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/O1EIxeBELL,1,0.00%
/Users/maria/Desktop/e4f9a018e42893bc702d962bed407f3a5e57ccfa82ea0d2b0e5338ca9113,1,0.00%
/Users/user1/Desktop/YdSJR9K1Fu,1,0.00%
/Users/maria/Desktop/gkTcW51HDI,1,0.00%
/Users/maria/Desktop/pjXuJBgOMh,1,0.00%
/Users/maria/Desktop/MKB3MN4MaF,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.RDIbAXZ9/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/047e01d63e94f806bad2648c014113422bc0646596c25c874b93975aac3d,1,0.00%
/Users/maria/Desktop/91794fccb19e3479e67c0500d39db716c21560df9fb0e4aadc96db640262,1,0.00%
/Users/maria/Desktop/w6yI4wNLQK,1,0.00%
/Users/maria/Desktop/2ea124438f3e6a12bcc540d38071b9d59989ca2996d99edc89db12c91ba6,1,0.00%
/Users/maria/Desktop/011f150abb5434059597948b0ccc63e8a0f0f5bec335331c2b9cf4d8f7bc,1,0.00%
/Users/maria/Desktop/c42e1f9b3212ac8841b62287aa591e6141267a51a845cbb80773d91e8e82,1,0.00%
/Users/maria/Desktop/fluidram,1,0.00%
/Users/maria/Desktop/f26ad9b3fb4b6291b904a1a2d21a16955034dae5aad5770771b417352465,1,0.00%
/Users/maria/Desktop/1N35E2GuI9,1,0.00%
/Users/maria/Desktop/24b90cb530750ac593940496c2c16b2a5c68813ae6a80705179bb358555d,1,0.00%
/Users/test/Desktop/installer,1,0.00%
/Users/maria/Desktop/DK016yXHRV,1,0.00%
/Users/bruno/Desktop/d139d268617e6610b990c47a0c674396d14d910389eff6f4e0bba45f7f2e,1,0.00%
/Users/user1/Desktop/337b2b41e97f03a117846410edfa94ecd5c0ccdea6a1950f459b3342e448,1,0.00%
/Users/maria/Desktop/MAGNIFICENT_ROUGH,1,0.00%
/Users/maria/Desktop/Herero,1,0.00%
/Users/maria/Desktop/abc83c078dd8d5e449be8b9043ca8fe79aa2409267e23b004a3a632f6366,1,0.00%
/Users/maria/Desktop/20wvmryalT,1,0.00%
/Users/maria/Desktop/6929ee004bed5957cce4e34ff981a902e1d6a898c2df643f69e3ed55b598,1,0.00%
/Users/user1/Desktop/ONZinl1io5,1,0.00%
/Users/maria/Desktop/7ebee07d226fd7aa491724b62c4999b1cc6174cda3925748e4393190a8db,1,0.00%
/Users/maria/Desktop/c645f1af73ba11334a93e89d5276bd63930de6254846c7aa9f9af25f885b,1,0.00%
/Users/maria/Desktop/9bb34cb09048b5b6f3d38c98e887db66a8380cf2e939f608c812f3082928,1,0.00%
/Users/maria/Desktop/ByCMhYnrbj,1,0.00%
/Users/maria/Desktop/76fdd071e914be312982dadd78ddb52e54ed55040e0881068b6d98e4da97,1,0.00%
/Users/user1/Desktop/e8949ec99ec6284172d04bb320a4d9b39f2eb76573b092d3fe9c00819734,1,0.00%
/Users/maria/Desktop/631170801.txt,1,0.00%
/Users/maria/Desktop/L25kk51rQJ,1,0.00%
/Users/bruno/Desktop/Docker,1,0.00%
/Users/maria/Desktop/Docker,1,0.00%
/Users/maria/Desktop/5YHOg5v71s,1,0.00%
/Users/user1/Desktop/82fcd33b487bf632d11183f16eb797b88eca8903ca5004bf2c54823fdfc2,1,0.00%
/Users/maria/Desktop/SCAl8yV0lJ,1,0.00%
/Users/maria/Desktop/063c91dbb4732e874237b178b425662d0828a6a83532a6c4e6438dae9fe5,1,0.00%
/Users/maria/Desktop/fscan_mac,1,0.00%
/Users/user1/Desktop/b1ac3c890aa75106c73a69306db8d52979b2eab999eee7625b32977eebe8,1,0.00%
/Users/maria/Desktop/5S7plakhsg,1,0.00%
/Users/maria/Desktop/wudRJPqikU,1,0.00%
/Users/maria/Desktop/8zPP6VePjH,1,0.00%
/Users/maria/Desktop/Kn6tVjpjIn,1,0.00%
/Users/maria/Desktop/mLolQM2BdZ,1,0.00%
/Users/maria/Desktop/A7JBZMe1HT,1,0.00%
/Users/user1/Desktop/7474a96c65477f0ba26bc6db6a6bc02a6fafe94cc962689fe891fcb6f8b6,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.blCtE5BN/Installer.app/Contents/MacOS/Installer,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.Y4ScBuDR/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/iMunizator,1,0.00%
/Users/maria/Desktop/QJUYJxYMrA,1,0.00%
/Users/maria/Desktop/YPPhkrv7wl,1,0.00%
/Users/user1/Desktop/0d56540b5b69d05e07f098bbbc8f680d77883acfcb3f6682690160afc1b3,1,0.00%
/Users/maria/Desktop/masscan,1,0.00%
/Users/maria/Desktop/Dn1l1Xyb5F,1,0.00%
/Users/maria/Desktop/Pws4mZUFuJ,1,0.00%
/Users/maria/Desktop/ELUMMbP7fa,1,0.00%
/Users/maria/Desktop/f1959d1c21f7d361f7f27de4cda2c88b301c50bf7acf2d7c97fd584655bb,1,0.00%
/Users/maria/Desktop/d2f160baee02c83526d6ff6fd566286840766fa813ed20ee3a62222bd675,1,0.00%
/Users/maria/Desktop/cd95875774c71f78d6de3fe420a7d57bf32e61005f1cb8967e07aba7c7d4,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.YFY1WSfe/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/8787e5749069e397a311b0d27ba845c21c3745e9ddafd7b278c1974f9e0a,1,0.00%
/Users/maria/Desktop/m37ca5a,1,0.00%
/Users/maria/Desktop/193976f5aecb89ee330d1cfd496deaadca34bc1d5ed5bcbc71a24837c145,1,0.00%
/Users/maria/Desktop/BHGVLjUrq3,1,0.00%
/Users/maria/Resources/9727606133,1,0.00%
/Users/maria/Desktop/svndiff.dat,1,0.00%
/Users/maria/Desktop/a6c323d8e0f03da99ecf770a00dac9a113b99c835ec21bc695e4292bc0be,1,0.00%
/Users/maria/Desktop/hF1QLer5GP,1,0.00%
/Users/user1/Desktop/4c452209c30d2a3c7927eeaffb0f57f2dbcca36c3a7ece66a387feb8f783,1,0.00%
/Users/user1/Desktop/3953049476549810296,1,0.00%
/Users/maria/Desktop/wVG4v0Q8Vq,1,0.00%
/Users/user1/Desktop/I6ptJY0TZ7,1,0.00%
/Users/maria/Desktop/c36701973fa9cebedefa6dbffe56d9cd3b98ea9006b44ca4310578d95fce,1,0.00%
/Users/maria/Desktop/6QkBYh19Xv,1,0.00%
sh -c clear,1,0.00%
/Users/maria/Desktop/4vBXpx6ThX,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.88hIgNUW/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/ced908d27816160a055f4459d1dd807b981afcb0fb75df8f276fed3f54c8,1,0.00%
/Users/maria/Desktop/Bitweb-Qt,1,0.00%
/Users/maria/Desktop/F8UCSQhEls,1,0.00%
/Users/maria/Desktop/image,1,0.00%
/Users/maria/Desktop/FwT1Lm9GCU,1,0.00%
/Users/maria/Desktop/netchk,1,0.00%
/Users/maria/Desktop/XilisoftVideoJoiner2x8664,1,0.00%
/private/tmp/Tsunami,1,0.00%
/Users/maria/Desktop/68243GeIZr,1,0.00%
/Users/maria/Desktop/vK8qtb11co,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.owUyiqp0/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/kG4EQWaPYJ,1,0.00%
/Users/maria/Desktop/ClashX_Meta,1,0.00%
/Users/maria/Desktop/ClashX,1,0.00%
/Users/maria/Desktop/Zoom,1,0.00%
/Users/maria/Desktop/BFDRU9FTFR,1,0.00%
/Users/user1/Desktop/0f74d00768ed38d525f7e35cf0d6247635ecdf1ce52767187f88fcb9b5ae,1,0.00%
/Users/maria/Desktop/M7NOtZXlCW,1,0.00%
/Users/maria/Desktop/14a684a6815132b0fcc195eeaf5a257d1d2b77c43035e1e4b3fae576cd2b,1,0.00%
/Users/maria/Desktop/XmO5P3Q35i,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.govzFI6l/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/FToaaWwcac,1,0.00%
/Users/maria/Desktop/4f84910159fd49f80cbaf3e06fafeccde603058f7e40706c228270e8c0e1,1,0.00%
/Users/maria/Desktop/47b03dd9bcf52436b9a68de2bed06a743486ef588926718e8ba656149663,1,0.00%
/Users/maria/Desktop/r2iRGYQFyv,1,0.00%
/Users/maria/Desktop/lS62rN3cIb,1,0.00%
/Users/maria/Desktop/597cb5a57bc2333c44c43937f59a5086aaa3c16232bae2d599698c4dd416,1,0.00%
/Users/bruno/Desktop/TheUnarchiver,1,0.00%
/Users/bruno/Desktop/3e8ca6b3eaf9cb699f4a1d32e3c2f0d41067f65384957e455c34b38c8972,1,0.00%
/Users/maria/Desktop/psaux,1,0.00%
/Users/maria/Desktop/fMpgTTsYo7,1,0.00%
/Users/maria/Desktop/014af0a3d3f8c95bcc8df57d66c76f65ce55e2f01f1b6625176ac883bee8,1,0.00%
/Users/maria/Desktop/4Y753457uo,1,0.00%
/Users/maria/Desktop/woddAbTt0z,1,0.00%
/Users/maria/Desktop/oC9hHEI0yE,1,0.00%
/Users/maria/Desktop/a4cde41ad1c1ff13555dbba2d8e03437e0d0498bd5ff054b134afc700d81,1,0.00%
/Users/maria/Desktop/siMmozD7Di,1,0.00%
/Users/maria/Desktop/cdk_darwin_amd64_(1),1,0.00%
/Users/maria/Desktop/HUYVtojJDM,1,0.00%
/Users/maria/Desktop/GLIGKMeure,1,0.00%
/Users/maria/Desktop/626218611.txt,1,0.00%
/Users/maria/Desktop/0d7b283a56be7184f6745c2b3dc4b9b80a59f80df03488f809b2d00266b9,1,0.00%
/Users/maria/Desktop/1mTgGkI5ti,1,0.00%
/Users/maria/Desktop/TJ5UssU5YO,1,0.00%
/Users/maria/Desktop/4106a83b5108501d35742fb099ca6e17a561c4cbd35d1e76c136bd38cc40,1,0.00%
/Users/maria/Desktop/3f606e9fc359579dd65b300a36614a51756e1cb6b85880b0da6ff2f64945,1,0.00%
/Users/maria/Desktop/Segwit,1,0.00%
/Users/maria/Desktop/Wba3sU6zv9,1,0.00%
/Users/maria/Desktop/a7C5Gx0jkF,1,0.00%
/Users/maria/Desktop/Ransome_webhook,1,0.00%
/Users/maria/Desktop/KprpdkEAAN,1,0.00%
/Users/maria/Desktop/7c4a8c071d42628f16dd42a5d39082ad3070a2dbc1c8bd222aeb07f31ecf,1,0.00%
/Users/maria/Desktop/rEjRApTMuW,1,0.00%
/Users/maria/Desktop/e35a211c3b03b7755a1e09ffafb483acbb91f616eb6bf44fc31793b480b0,1,0.00%
/Users/maria/Desktop/ecc1866796b415a6749f1039457ee742103beab859b768e06b091c281ab4,1,0.00%
/Users/maria/Desktop/5fddc71ae60801b78906e5e5c72b1401661cd65fa61bc7b7291f5f050aa4,1,0.00%
/Users/maria/Desktop/b077ed7f71ee7eb6eeca169b8a35406f62fcfa40783cb5c1b90a841dfef4,1,0.00%
/Users/maria/Desktop/puKsRYGeue,1,0.00%
/Users/maria/Desktop/1654dc12c991f6aa13cacd63e7190ec9a93deaed1bb6aac1e6335cdf33f3,1,0.00%
/Users/maria/Desktop/3e40fa449773d5ff87df5197371600c36400f84a44d3000068225a9f5f82,1,0.00%
./Atechny,1,0.00%
/Users/maria/Desktop/.BC.T_TRLeO1,1,0.00%
/Users/maria/Desktop/c0259ba0a03c93ac805f70a326cb6a8d0a7c339ddd56404501e76bb68a99,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.2U5z1qSL/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/682pkYSNra,1,0.00%
/Users/bruno/Desktop/Segwit,1,0.00%
/Users/maria/Desktop/RR5jdUcw1F,1,0.00%
/Users/maria/Desktop/c6c6f31097687c54a7023624510417f0ef0d14ee73b0193b0f9fdec75b94,1,0.00%
/Users/maria/Desktop/7Vbfadj2eM,1,0.00%
/tmp/dnxblnfdjm,1,0.00%
/Users/maria/Desktop/7Uy6jtOPEr,1,0.00%
/Users/maria/Desktop/e513e2c5a3d00b351ff4231c2561732c68e7cb0cef3d604672105e028e66,1,0.00%
/Users/maria/Desktop/sdGaoGzDPR,1,0.00%
/Users/maria/Desktop/oGvOc125N2,1,0.00%
/Users/maria/Desktop/3ac595d4fd39ff1078bad63fbd49e92cbb343692be0c28fb1ba1558f8085,1,0.00%
/Users/user1/Desktop/.BC.T_bvnLwN,1,0.00%
/Users/user1/Desktop/9723178324e0d978ab4393f1dc73e0baf540a7a3d5d28ef32e3ae81e2cc2,1,0.00%
/Users/maria/Desktop/Rd43Y5TEJV,1,0.00%
/Users/user1/Desktop/Donemax,1,0.00%
/Users/maria/Desktop/d80ac824e69e228036e407fa47fa8213e8f0d973d28b83dcc08e1f3e99ea,1,0.00%
/Users/maria/Desktop/11977382569443323883,1,0.00%
/Users/maria/Desktop/8d33f95ec3005010348c7a37b427794261fa0d1ee7f1c16c7c673be6ae58,1,0.00%
/Users/maria/Desktop/6668026a866b4b98a18d06c7af25e12470f5334d9188cfe31967_0.macho,1,0.00%
/tmp/sKCBclRcnp,1,0.00%
sh -c /Applications/Adobe\,1,0.00%
/Users/user1/Desktop/786470a94738e0e564e28490c5ef2c0582b99653de8c3701f644f4bc3e3f,1,0.00%
/Users/maria/Desktop/3ad7a959bbbfc21a189057ffccb8d01f1cc9b6efeca3d8be42619993d374,1,0.00%
/Users/maria/Desktop/7U3yFfJCiA,1,0.00%
/Users/maria/Desktop/bBpRNiItXp,1,0.00%
/Users/maria/Desktop/0gf8pCq0hq,1,0.00%
/Users/maria/Desktop/3024d9cb481e045d2267bf770ee545636d687de7e276cc7180ce00e4eed7,1,0.00%
/Users/maria/Desktop/AnySearchService,1,0.00%
/Users/maria/Desktop/DFwSH6IBMB,1,0.00%
/Users/maria/Desktop/I5stADX6dX,1,0.00%
/Users/maria/Desktop/4fc55eb548220a0e319ce632d0fc2cc39570c1135fc29eedc228512c1096,1,0.00%
/Users/maria/Desktop/e1835e3b703eb78afdb737d16b7648d032c5c90ea7bb55c51ceb01c99296,1,0.00%
/Users/maria/Desktop/efa07cb9556e11912da3493d213305dff8152f241c80ac9a26dfcb7d82e7,1,0.00%
/Users/user1/Desktop/d079592fbef81017f2ad09904b8cae68c332970f12352148de54edc7a732,1,0.00%
/Users/maria/Desktop/fys00qbj,1,0.00%
/Users/maria/Desktop/JL,1,0.00%
/Users/bruno/Desktop/SuaWorldLauncher,1,0.00%
/Users/maria/Desktop/SuaWorldLauncher,1,0.00%
/Users/maria/Desktop/12782016017370694536,1,0.00%
/Users/user1/Desktop/eeb9171f400abbb18c5878aed84e730253f4b25fc614b79b9fb47dcc7d94,1,0.00%
/Users/maria/Desktop/CA1Z8utKq1,1,0.00%
/Users/maria/Desktop/GqbdlICV2i,1,0.00%
/Users/bruno/Desktop/65d6bc9fe32bb84f014b7c63c114e67cb4f91ee7c50c9420394d0a3c294b,1,0.00%
/Users/maria/Desktop/e9R6un5rPT,1,0.00%
/Users/maria/Desktop/30afb994423c0f2a03111cc2c9053de9c830e3066384abb109623d3e4c2d,1,0.00%
/Users/maria/Desktop/U6h74k7IpB,1,0.00%
/Users/maria/Desktop/zOQKdaZeUp,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.H9V7O1EV/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/86e6ac9ebf04768436a04bd5016d1427b34d19c733a0f7c7d252fd30f954,1,0.00%
/Users/maria/Desktop/M08d2dfXlN,1,0.00%
/Users/maria/Desktop/3d7bef586623cf69aea9fba1448b8dcb12ccd66e4fec5612a19785484bd5,1,0.00%
/Users/maria/Desktop/F22TG8iNDp,1,0.00%
/Users/maria/Desktop/K1ENo7vEPf,1,0.00%
/Users/bruno/Desktop/6e364238b9ce6b55a8f9527e82e200c5f5fc081304563c9c95c414bd9268,1,0.00%
/Users/user1/Desktop/a69b901cfb1454cb073a498c7c9b5226723c2c5e8b15fc80ab01460688b4,1,0.00%
/Users/maria/Desktop/7ngz2iHY9e,1,0.00%
/Users/maria/Desktop/49996a943d5705ded45a64658819b6d0cfbacdd89fe11d94e5b331b7d454,1,0.00%
/usr/local/bin/livelocalserviced,1,0.00%
/usr/local/bin/liveeventd,1,0.00%
/Applications/Ableton,1,0.00%
/Users/user1/Desktop/lauth,1,0.00%
/Users/maria/Desktop/NEbfLy3g2o,1,0.00%
/Users/maria/Desktop/3cad72c82589b4e58c4dced611ce5ac266ed7e2aa935812cabd38c0a3336,1,0.00%
/Users/bruno/Desktop/zshrc2,1,0.00%
/Users/maria/Desktop/zshrc2,1,0.00%
/Users/maria/Desktop/o9R5YZd8eJ,1,0.00%
/Users/maria/Desktop/tfbuYVxYy3,1,0.00%
/Users/user1/Desktop/f017a3e46c9e5dc065ee9139101a7843aa5d28ffc54e1f0536bc15344e48,1,0.00%
/Users/maria/Desktop/a13cb8e7233b235505ba1f4fd5cc5713a1cd3a456e637c5789ddd4ae4f9c,1,0.00%
/Users/maria/Desktop/GREY_YARD,1,0.00%
/Users/maria/Desktop/re5kPMwp4z,1,0.00%
/Users/maria/Desktop/58873cc4e11acc724c06c6bed3b7329680579da2d85c19ff9823aa957c92,1,0.00%
/Users/maria/Desktop/W8xWzogGQT,1,0.00%
/Users/maria/Desktop/397643a613a0411ffac7ac959470496cfda96fdfe6b8d4f3be6ba716bc04,1,0.00%
/tmp/mshelper/mshelper,1,0.00%
/Users/maria/Desktop/a854ab4c143c7dcdfe69308e7497007cdec49e81e41b6bde502bf355984a,1,0.00%
/Users/maria/Desktop/d13daf10ca60d0a062b5363b5ca0f290bab48060ced778da7e979d28f8ec,1,0.00%
/Users/maria/Desktop/krWa2LCFwt,1,0.00%
/Users/maria/Desktop/0b770ff3fd8ccc05fa272dbb3e26698924e286ca3ffca7617172bda4a7f6,1,0.00%
/Users/maria/Desktop/5668f93678e2e2daeb35a55918392a3c5c4393f6e4016ebecda253ae9a60,1,0.00%
/Users/maria/Desktop/JzMZ7Qieuf,1,0.00%
/Users/maria/Desktop/gKjyfwpp4k,1,0.00%
/Users/maria/Desktop/ST80IEopfC,1,0.00%
/Users/maria/Desktop/PIbgmiZyqD,1,0.00%
/Users/maria/Desktop/ChAYw5z2X1,1,0.00%
/Users/maria/Desktop/40d82436bcdaae7962b9cb668bd5c4934f14d37e95f63e3b8128bb659034,1,0.00%
/Users/maria/Desktop/625613247.txt,1,0.00%
/Users/maria/Desktop/89b721fa55cb257525f583161d0a2124f711d2a7ef510436144fb8bfc636,1,0.00%
/Users/bruno/Desktop/f13a7344629ec95fefbf45f7d5bce18dd841a20ee62a6a072bf3a4979200,1,0.00%
/Users/maria/Desktop/dmPESbK7Pa,1,0.00%
/Users/maria/Desktop/FiNocp9pd8,1,0.00%
/Users/maria/Desktop/DQXECPjnKT,1,0.00%
/Users/maria/Desktop/dFMud64f1C,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.PVHf7KES/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/Go606m8DxC,1,0.00%
/Users/maria/Desktop/sPGzt4p4Vz,1,0.00%
/Users/maria/Desktop/0fEcTVFbtJ,1,0.00%
/Users/maria/Desktop/a79f00bd9f690bd2c068eaba287bfaae817522d4c560dc32f23d9f40e308,1,0.00%
/Users/maria/Desktop/e2be3c696f5998ea906dea049fda99427d65a20a4e9e64ca90614d857af1,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.V7u5Dqrg/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/S7rKYJ8gyj,1,0.00%
/Users/maria/Desktop/625327937.txt,1,0.00%
/Users/maria/Desktop/kcrWGUh99G,1,0.00%
/Users/maria/Desktop/wpkg73pt,1,0.00%
/Users/maria/Desktop/7Au7AkKWOg,1,0.00%
/Users/maria/Desktop/XNdSXz5ekm,1,0.00%
/Users/maria/Desktop/desIWHi93w,1,0.00%
/Users/maria/Desktop/StaffCounter,1,0.00%
/Users/bruno/Desktop/Launch,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.D2AnaHGG/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/user1/Desktop/qJ3HR68Jjm,1,0.00%
/Users/maria/Desktop/82ac93fd673f3bf33597893113ea21a441eb97dc75e8fb2d29f75a6f4ed1,1,0.00%
/Users/maria/Desktop/63a090de36467058e357cc075f3a5b13e971bb1e43d272e43a61e5767d68,1,0.00%
/Users/user1/Desktop/PEllAB31nO,1,0.00%
sh -c echo,1,0.00%
/Users/maria/Desktop/MQPNtTILl2,1,0.00%
/Users/maria/Desktop/a415267693c46cf29a7d7360e29d5946887c97018d05ec250435d67033f2,1,0.00%
/Users/maria/Desktop/base64_test,1,0.00%
/Users/maria/Desktop/13320090856ff2ca0fae0686af9bc38d934e237cdecb2710a43494d9979d,1,0.00%
/Users/user1/Desktop/a53a9d0b5a653f69ea17e584b8e72c1d670489417a616992a51eb4f176c9,1,0.00%
/Users/maria/Desktop/YW55azNvlO,1,0.00%
/Users/maria/Desktop/47BvAD484Q,1,0.00%
/Users/maria/Desktop/840f8c603e712e63eeaf689a27e4f1cbf045cc251dd28ecff16c91670aa3,1,0.00%
/Users/maria/Desktop/6327740185109799946,1,0.00%
/Users/maria/Desktop/MnfJ2QNTJW,1,0.00%
/Users/maria/Desktop/4f4f0d6db059368aaeef5380080e70e945f0b5edaa55203afcf466fd2873,1,0.00%
/Users/maria/Desktop/42760d357b1a27fac98117f1b5bdb4d320d98a94c0a5268f64db42e36d25,1,0.00%
/Users/maria/Desktop/d8hX1ZtxQv,1,0.00%
/Users/user1/Desktop/neFWJFq6N1,1,0.00%
/Users/bruno/Desktop/1d7a5467ec1a00563b1fbbad5fed48f42e10298a2bec09033308a93b9e05,1,0.00%
/Users/maria/Desktop/CBpF6STFnq,1,0.00%
/Users/maria/Desktop/arc-installer,1,0.00%
/Users/user1/Desktop/caf83ad68bb42001fc023e181b8be2cfd894d640aa9e932b500b89b48b83,1,0.00%
/Users/maria/Desktop/liqAKBUjK1,1,0.00%
/Users/maria/Desktop/zug1CxNFc2,1,0.00%
/Users/user1/Desktop/143ec973cd886b4711d8b25fb35fa594a9ebc7d2233625d21ed690b4e211,1,0.00%
/Users/maria/Desktop/1e20286e6f0b857aed6c0c226e7d37b9d7535651f750016ff98401f11e39,1,0.00%
/Users/maria/Desktop/mvUZIPLosu,1,0.00%
/Users/maria/Desktop/xjy2jkfIY0,1,0.00%
/Users/maria/Desktop/70e34c037d8db62747ef0df39dd6059040ff8af67947acd04d83c89c49a5,1,0.00%
/Users/maria/Desktop/ESP_Bloxflip_Windows,1,0.00%
/Users/maria/Desktop/OrkHXuXKvw,1,0.00%
/Users/user1/Desktop/xmrig,1,0.00%
/Users/maria/Desktop/8e12cdc9e98e87bec7a5d0b892c3f1c85b61603b4ecbd9439638009d021f,1,0.00%
/Users/maria/Desktop/wwvI3HOQzU,1,0.00%
/Users/maria/Desktop/9IUrVQy824,1,0.00%
/Users/maria/Desktop/MacClean360,1,0.00%
/Users/bruno/Desktop/MacClean360,1,0.00%
/Users/maria/Desktop/ecb30caaaa9d7ad0380036123e2a198a46b683df7a3ea482a599d1a56d4e,1,0.00%
/Users/maria/Desktop/oluLHSKAB2,1,0.00%
/Users/maria/Desktop/pHSSqtaevq,1,0.00%
/Users/maria/Desktop/MHPdy1k3UZ,1,0.00%
/Users/user1/Desktop/a98881874e17deba5d8b1ce084e97d59c0abee1a3724d435c2607e2ef879,1,0.00%
/Users/maria/Desktop/f79f3bcae7d186c4552367480113938b18d7ce3c0fd4f6b631601a927b3f,1,0.00%
/Users/maria/Desktop/2JuUc6TGOz,1,0.00%
/Users/user1/Desktop/mcTNZl462U,1,0.00%
/Users/maria/Desktop/c729f681fca2272578139b668f8c9e723a5c8c7c12495fd7f6cb51ebb730,1,0.00%
/Users/maria/Desktop/626529497.txt,1,0.00%
/Users/maria/Desktop/812645dfb9633fc367e958e946e2a8bd84664ff15239ffbb3afbaf3c8197,1,0.00%
/Users/maria/Desktop/X3DggLqWaL,1,0.00%
/Users/maria/Desktop/filebot,1,0.00%
/Users/maria/Desktop/lu6cTB8eTr,1,0.00%
/Users/maria/Desktop/as1U6LRHW1,1,0.00%
/Users/maria/Desktop/C8Ktlg5rpa,1,0.00%
/Users/maria/Desktop/618b5d9e057de25977ec2bd698e3070280be162aaed16b45cdef3ccad862,1,0.00%
/var/folders/zz/zyxvpxvq6csfxvn_n0000000000000/T/tmp.5YPjZfxJ/Installer.app/Contents/MacOS/Installer,1,0.00%
/Users/maria/Desktop/UXyMctISOD,1,0.00%
/Users/maria/Desktop/27538171b5bcd6bd6189e7edfc7d41778a358facfb31f15a7cc302cdbb0a,1,0.00%
/Users/maria/Desktop/iNavCore,1,0.00%
/Users/maria/Desktop/F6egqFVNFF,1,0.00%
/Users/maria/Desktop/f29792f9154533592f016e65a7d3b00d82da46da6093d43f088135610cb0,1,0.00%
/Users/maria/Desktop/dGCDmUjBUu,1,0.00%
/Users/user1/Desktop/unpacked_sample,1,0.00%
/Users/maria/Desktop/UItaCPjlqX,1,0.00%
/Users/maria/Desktop/af711fc722e9fe398fb7a9a5c868f4b0b5f6d70f6860b143ea68596bbdb4,1,0.00%
/Users/maria/Desktop/Wves0ZQQFw,1,0.00%
/Users/maria/Desktop/ux2iw5ZCbH,1,0.00%
/Users/bruno/Desktop/ba14430a28a03b73d8d514c08d10b2f5e1a132772ac24d6ae2596e.macho,1,0.00%
/Users/maria/Desktop/tqHtxL75aL,1,0.00%
/Users/maria/Desktop/wkufYMW71I,1,0.00%
