Hash,Family,first_submission_date,code_sign,cpu_type
c5ed05b61c5257beb138af6b36f4b1ac,SINGLETON,2023-08-27,,x86_64
c5205bfb4cf53528225c5f37c8bda937,SINGLETON,2023-02-08,Valid,x86_64
c50e7b3335f281ee79cc4db07c8164d9,puagent,2024-04-25,MissingPlist,x86_64
c500730ac926fb03499fdb3b4143f9be,SINGLETON,2023-08-28,,x86_32
a8db79c0a0a525e4decfa2e4f7e3c7fa,SINGLETON,2023-09-01,MissingPlist,x86_64
a840f407e6a44661a06d295fa230b889,SINGLETON,2022-05-03,,x86_64
c3af1b8bc83a7113761fa58a831978e1,SINGLETON,2024-04-14,,x86_64
a6d8aa3dfc37b1b585a6768463ba4d32,imyfone,2023-08-27,Valid,x86_64
c3464fda154a50bd35281c45607854b6,ngrok,2022-09-15,Valid,x86_64
a5af349476a0e59cb2ac95c2b24e1cfa,buhocleaner,2022-01-03,MissingPlist,"x86_64, ARM_64"
c1ae4d7db862c8fbdc1568a4de8f42fb,macbooster,2016-08-17,Valid,x86_64
a569e632d2b9ce08615e27ee09803f7a,SINGLETON,2023-06-11,MissingPlist,x86_32
c0f6c7472ec563aed000db8327ac72a0,SINGLETON,2024-03-25,,x86_64
a518dc0b601a8c95b84a33c031d2bb76,puagent,2024-07-30,MissingPlist,x86_64
a41ba611988acc02708c204e9c6539bc,SINGLETON,2022-05-26,,x86_64
bf844571b9c4890cb83b5d6f09051f59,SINGLETON,2024-04-19,,ARM_64
a3cb0a5328aca42b1da0ff36d9befb01,imyfone,2023-08-30,Valid,x86_64
a271e096385734163e00646c9ff644c7,imobie,2024-07-17,MissingPlist,x86_64
a21c4755b6ee2b7ad29da5c4c234b881,puagent,2023-03-10,NotTrusted,"x86_64, ARM_64"
bb85845a25807661ae199472e64366fc,SINGLETON,2023-07-08,,x86_64
a0085387806b518b1b1cff66573eaafd,SINGLETON,2021-12-24,MissingPlist,x86_64
bae790dadac5ef8e22fa66eca8268733,macmaster,2021-02-04,MissingPlist,x86_64
9f55b1c4e0b183ff4de0dfbc002aa0be,SINGLETON,2024-06-13,,ARM_64
ba1c42e0900ce30ed2ddcd1e0c9fcfd3,SINGLETON,2024-06-29,,x86_64
9c22fce542483c73b50cbfac9f29462c,imobie,2024-07-17,MissingPlist,x86_64
b9764666fea1962d8d0029eace00899b,imobie,2019-12-18,MissingPlist,x86_64
b818210286a10cd2504d011aa2a237c3,macsear,2020-03-28,,x86_64
9af333c38ca5d1fdf38f1aa01b512c01,SINGLETON,2024-02-02,Valid,ARM_64
b48a1193ff09f0bc1e2960bb7ea3ec2f,imyfone,2024-04-25,Valid,x86_64
9ac6d2fd3a1daf6d9bef059735846e4b,SINGLETON,2024-02-02,MissingPlist,x86_64
b3602ef6b773136e3ee67391ac490507,SINGLETON,2023-08-30,MissingPlist,x86_64
9a5b7f9c547e084a7d55db378888d63e,imobie,2024-07-17,MissingPlist,x86_64
992ac027e353ef636895bc6d7908b877,SINGLETON,2023-08-25,MissingPlist,x86_64
9911b0e043c5a7bd784eaebb7898ad4f,imobie,2024-07-17,MissingPlist,x86_64
af86f34aba7f03049e0ed242a94295cf,SINGLETON,2021-11-09,Valid,x86_64
98ea09b570178fbde241632e869338bb,SINGLETON,2023-06-08,,x86_64
98b08037b4f4a44fb86d87ae12099ec5,limerain,2020-06-09,,x86_64
7ae11b0481ee7437b02fe52a303a131c,malsource,2023-05-12,MissingPlist,ARM_64
cb45d963e49310dae1376afdc9de6be5,imobie,2024-07-17,MissingPlist,x86_64
799aad72a7bef455e866597e70dc3cac,SINGLETON,2023-06-16,MissingPlist,x86_64
964078f0f6fd67f7f9c07dd934a033a1,puagent,2020-01-09,MissingPlist,x86_64
79807149d33b32ed4a5ed059f3f44ca2,SINGLETON,2020-08-09,,x86_64
7872c09b307dc8c37fac57cdf00665c2,SINGLETON,2024-05-22,MissingPlist,x86_64
