Library,Count,% Over total
/System/Library/Frameworks/CoreAudio.framework/Versions/A/CoreAudio,214,0.97%
/System/Library/Frameworks/Collaboration.framework/Versions/A/Collaboration,208,0.94%
/System/Library/Frameworks/QuickLook.framework/Versions/A/QuickLook,206,0.93%
/System/Library/Frameworks/AudioToolbox.framework/Versions/A/AudioToolbox,204,0.92%
@executable_path/../Frameworks/libminiupnpc.16.dylib,204,0.92%
/System/Library/Frameworks/JavaScriptCore.framework/Versions/A/JavaScriptCore,198,0.90%
@executable_path/../Frameworks/libboost_filesystem.dylib,195,0.88%
/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/MobileDevice,190,0.86%
@executable_path/../Frameworks/libboost_system.dylib,189,0.86%
@executable_path/../Frameworks/QtDBus.framework/Versions/5/QtDBus,189,0.86%
@rpath/QtCore.framework/Versions/5/QtCore,186,0.84%
/System/Library/Frameworks/LDAP.framework/Versions/A/LDAP,184,0.83%
@rpath/QtGui.framework/Versions/5/QtGui,182,0.82%
@rpath/QtWidgets.framework/Versions/5/QtWidgets,181,0.82%
/usr/lib/libbz2.1.0.dylib,178,0.81%
@rpath/QtNetwork.framework/Versions/5/QtNetwork,177,0.80%
@rpath/Sparkle.framework/Versions/A/Sparkle,175,0.79%
/System/Library/Frameworks/CoreLocation.framework/Versions/A/CoreLocation,167,0.76%
@rpath/libswiftos.dylib,164,0.74%
@executable_path/libusbmuxd.4.dylib,162,0.73%
@executable_path/libzip.5.dylib,162,0.73%
/System/Library/Frameworks/Accelerate.framework/Versions/A/Accelerate,156,0.71%
@executable_path/libplist.3.dylib,154,0.70%
@rpath/IMBLogManager.framework/Versions/A/IMBLogManager,154,0.70%
@loader_path/libcurl.dylib,146,0.66%
@loader_path/libcrypto.dylib,146,0.66%
/System/Library/Frameworks/Metal.framework/Versions/A/Metal,144,0.65%
@rpath/libHookCrash.dylib,142,0.64%
@executable_path/libbassmod.dylib,141,0.64%
@loader_path/libimobiledevice-1.0.6.dylib,138,0.63%
@loader_path/libusbmuxd-2.0.6.dylib,137,0.62%
/usr/lib/libcrypto.0.9.7.dylib,134,0.61%
/System/Library/Frameworks/ColorSync.framework/Versions/A/ColorSync,132,0.60%
@rpath/libDYKit.dylib,124,0.56%
@rpath/libbass.dylib,124,0.56%
/System/Library/Frameworks/OSAKit.framework/Versions/A/OSAKit,122,0.55%
@executable_path/../Frameworks/libqrencode.4.dylib,122,0.55%
/System/Library/Frameworks/IOSurface.framework/Versions/A/IOSurface,121,0.55%
@executable_path/../Frameworks/QtCore.framework/Versions/4/QtCore,120,0.54%
@executable_path/../Frameworks/libqrencode.3.dylib,119,0.54%
/System/Library/Frameworks/AddressBook.framework/Versions/A/AddressBook,117,0.53%
@executable_path/libusb-1.0.0.dylib,117,0.53%
@executable_path/../Frameworks/QtGui.framework/Versions/4/QtGui,117,0.53%
@executable_path/../Frameworks/libprotobuf.15.dylib,116,0.53%
@executable_path/../Frameworks/libevent-2.1.6.dylib,114,0.52%
/System/Library/Frameworks/SecurityFoundation.framework/Versions/A/SecurityFoundation,113,0.51%
@rpath/CocoaLumberjack.framework/Versions/A/CocoaLumberjack,111,0.50%
@loader_path/../Frameworks/Sparkle.framework/Versions/A/Sparkle,111,0.50%
/usr/local/opt/boost/lib/libboost_thread-mt.dylib,110,0.50%
/System/Library/PrivateFrameworks/AirTrafficHost.framework/Versions/A/AirTrafficHost,109,0.49%
/usr/lib/swift/libswiftCoreFoundation.dylib,108,0.49%
@rpath/IMBFMDB.framework/Versions/A/IMBFMDB,105,0.48%
@executable_path/../Frameworks/libevent_pthreads-2.1.6.dylib,100,0.45%
/usr/local/opt/boost/lib/libboost_chrono-mt.dylib,100,0.45%
@executable_path/../Frameworks/libminiupnpc.10.dylib,100,0.45%
@loader_path/../Frameworks/libzip.5.3.dylib,96,0.44%
@loader_path/../Frameworks/libimobiledevice-1.0.6.dylib,96,0.44%
@loader_path/../Frameworks/libcrypto.3.dylib,96,0.44%
@loader_path/../Frameworks/libplist-2.0.3.dylib,96,0.44%
/usr/lib/libutil.dylib,95,0.43%
/usr/local/opt/boost/lib/libboost_program_options-mt.dylib,95,0.43%
@executable_path/liblibirecoveryMac.dylib,91,0.41%
@executable_path/../Frameworks/libzmq.5.dylib,90,0.41%
@rpath/AFNetworking.framework/Versions/A/AFNetworking,89,0.40%
/System/Library/Frameworks/IOBluetooth.framework/Versions/A/IOBluetooth,86,0.39%
/System/Library/Frameworks/QTKit.framework/Versions/A/QTKit,81,0.37%
@executable_path/../Frameworks/DeviceInfoUtility.dylib,80,0.36%
@executable_path/../Frameworks/Utility.dylib,79,0.36%
@rpath/SSZipArchive.framework/Versions/A/SSZipArchive,78,0.35%
@rpath/SDWebImage.framework/Versions/A/SDWebImage,77,0.35%
@rpath/IMBDeviceManager.framework/Versions/A/IMBDeviceManager,75,0.34%
@executable_path/../Frameworks/libminiupnpc.17.dylib,74,0.34%
@executable_path/../Frameworks/ScanKillingTool.dylib,74,0.34%
/System/Library/Frameworks/OpenDirectory.framework/Versions/A/OpenDirectory,72,0.33%
@executable_path/liblibimobiledevice.dylib,71,0.32%
@executable_path/../Frameworks/QtNetwork.framework/Versions/4/QtNetwork,70,0.32%
@rpath/SVGKit.framework/Versions/A/SVGKit,69,0.31%
@executable_path/../Frameworks/QtPrintSupport.framework/Versions/5/QtPrintSupport,69,0.31%
@rpath/Masonry.framework/Versions/A/Masonry,67,0.30%
@rpath/RNCryptor.framework/Versions/A/RNCryptor,66,0.30%
/System/Library/Frameworks/Kerberos.framework/Versions/A/Kerberos,65,0.29%
/System/Library/Frameworks/OpenCL.framework/Versions/A/OpenCL,64,0.29%
@executable_path/../Frameworks/CookieScan.dylib,64,0.29%
/usr/lib/swift/libswiftDarwin.dylib,64,0.29%
/usr/lib/swift/libswiftAppKit.dylib,63,0.29%
/usr/lib/liblzma.5.dylib,63,0.29%
@rpath/IMBNetworking.dylib,62,0.28%
@rpath/libMBFeature.dylib,62,0.28%
/usr/local/opt/boost/lib/libboost_filesystem-mt.dylib,61,0.28%
/usr/local/opt/boost/lib/libboost_system-mt.dylib,61,0.28%
/usr/lib/libssl.0.9.7.dylib,60,0.27%
/usr/lib/libncurses.5.4.dylib,59,0.27%
/usr/local/opt/openssl@1.1/lib/libcrypto.1.1.dylib,59,0.27%
/usr/lib/libpcap.A.dylib,58,0.26%
@rpath/MJExtension.framework/Versions/A/MJExtension,57,0.26%
@rpath/UnrarKit.framework/Versions/A/UnrarKit,57,0.26%
/System/Library/Frameworks/AVKit.framework/Versions/A/AVKit,56,0.25%
/System/Library/Frameworks/ImageCaptureCore.framework/Versions/A/ImageCaptureCore,56,0.25%
/usr/local/opt/boost/lib/libboost_filesystem.dylib,56,0.25%
@executable_path/../Frameworks/Protocolbuffers.framework/Versions/A/Protocolbuffers,54,0.24%
/usr/local/opt/berkeley-db@4/lib/libdb_cxx-4.8.dylib,54,0.24%
/usr/local/opt/boost/lib/libboost_date_time-mt.dylib,54,0.24%
/usr/local/opt/boost/lib/libboost_regex-mt.dylib,54,0.24%
/usr/local/opt/boost/lib/libboost_serialization-mt.dylib,54,0.24%
/usr/local/opt/openssl/lib/libcrypto.1.0.0.dylib,53,0.24%
@executable_path/../Frameworks/LANG.framework/Versions/A/LANG,52,0.24%
@executable_path/libimobiledevice.6.dylib,51,0.23%
@rpath/XCGLogger.framework/Versions/A/XCGLogger,51,0.23%
@rpath/ObjcExceptionBridging.framework/Versions/A/ObjcExceptionBridging,51,0.23%
@rpath/Alamofire.framework/Versions/A/Alamofire,50,0.23%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_thread-mt.dylib,50,0.23%
@executable_path/../Frameworks/libcrypto.1.1.dylib,49,0.22%
@executable_path/../Frameworks/ModelBase.dylib,48,0.22%
@executable_path/../Frameworks/UIElement.dylib,48,0.22%
@executable_path/../Frameworks/UntilityCore.dylib,48,0.22%
