Library,Count,% Over total
/usr/local/opt/qt/lib/QtGui.framework/Versions/5/QtGui,19,0.09%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_filesystem.dylib,19,0.09%
@@HOMEBREW_PREFIX@@/opt/berkeley-db@4/lib/libdb_cxx-4.8.dylib,19,0.09%
@rpath/SFBPopovers.framework/Versions/A/SFBPopovers,19,0.09%
/usr/local/opt/qt/lib/QtCore.framework/Versions/5/QtCore,19,0.09%
@executable_path/libEUOnlineActive.dylib,18,0.08%
/opt/local/lib/db48/libdb_cxx-4.8.dylib,18,0.08%
@executable_path/../Frameworks/libboost_chrono.dylib,18,0.08%
@rpath/libglib-2.0.0.dylib,18,0.08%
/opt/local/lib/libboost_filesystem-mt.dylib,18,0.08%
@rpath/libgraphite2.3.dylib,18,0.08%
@rpath/libharfbuzz.0.dylib,18,0.08%
/opt/local/lib/libboost_system-mt.dylib,18,0.08%
@rpath/libintl.8.dylib,18,0.08%
@rpath/libplist-2.0.3.dylib,18,0.08%
@rpath/libirecovery.dylib,18,0.08%
@rpath/libDeviceConnectDll.dylib,18,0.08%
@rpath/libimobiledevice.dylib,18,0.08%
@executable_path/../Frameworks/libAnyToInstaller.dylib,18,0.08%
@rpath/libimobiledevice-glue.dylib,18,0.08%
@rpath/libpcre.1.dylib,18,0.08%
@rpath/libpng16.16.dylib,18,0.08%
@rpath/libLog.dylib,18,0.08%
@rpath/libsodium.23.dylib,18,0.08%
@rpath/libMFCore.dylib,18,0.08%
/opt/local/lib/libboost_thread-mt.dylib,18,0.08%
@rpath/libgcc_s.1.dylib,18,0.08%
@rpath/YTKNetwork.framework/Versions/A/YTKNetwork,18,0.08%
@executable_path/../Frameworks/EDCommon.framework/Versions/A/EDCommon,18,0.08%
@executable_path/../Frameworks/AMCCheck.framework/Versions/A/AMCCheck,18,0.08%
@executable_path/../Frameworks/NMSSH.framework/Versions/A/NMSSH,18,0.08%
@executable_path/../Frameworks/EDMessage.framework/Versions/A/EDMessage,18,0.08%
/System/Library/Frameworks/Contacts.framework/Versions/A/Contacts,18,0.08%
@rpath/libfribidi.0.dylib,18,0.08%
@executable_path/../Frameworks/QtConcurrent.framework/Versions/5/QtConcurrent,17,0.08%
@rpath/PhFacebook.framework/Versions/A/PhFacebook,17,0.08%
@rpath/asu.dylib,17,0.08%
/opt/homebrew/opt/pcre2/lib/libpcre2-8.0.dylib,17,0.08%
/opt/local/lib/libsqlite3.0.dylib,17,0.08%
@rpath/libTunesLibrary.dylib,17,0.08%
@rpath/libTSLogSDK.dylib,17,0.08%
@rpath/libAnytoAndroid.dylib,17,0.08%
@loader_path/../Frameworks/CorePlot.framework/Versions/A/CorePlot,17,0.08%
@rpath/UpdateUI.framework/Versions/A/UpdateUI,17,0.08%
/System/Library/Frameworks/Security.framework/Security,17,0.08%
/System/Library/Frameworks/CoreML.framework/Versions/A/CoreML,17,0.08%
@rpath/TSRegisterUI.framework/Versions/A/TSRegisterUI,17,0.08%
@rpath/TSLibrary.framework/Versions/A/TSLibrary,17,0.08%
@executable_path/libEUiCloud.dylib,17,0.08%
@executable_path/../Frameworks/libfileReport.dylib,17,0.08%
@rpath/BugsplatMac.framework/Versions/A/BugsplatMac,17,0.08%
@rpath/TSFeedback.framework/Versions/A/TSFeedback,17,0.08%
@executable_path/../../curl/lib/libcurl.4.dylib,17,0.08%
@rpath/ZBSharedUtils.framework/Versions/A/ZBSharedUtils,17,0.08%
/usr/lib/libedit.3.dylib,17,0.08%
@executable_path/../Frameworks/libsodium.23.dylib,17,0.08%
@@HOMEBREW_PREFIX@@/opt/sqlite/lib/libsqlite3.0.dylib,17,0.08%
@rpath/MobileDeviceFramework.framework/Versions/A/MobileDeviceFramework,17,0.08%
/opt/local/lib/libboost_program_options-mt.dylib,17,0.08%
/System/Library/Frameworks/VideoToolbox.framework/Versions/A/VideoToolbox,16,0.07%
@rpath/libSoftwareLogLib.dylib,16,0.07%
/usr/local/opt/libevent/lib/libevent-2.1.6.dylib,16,0.07%
@rpath/libLeafletMapDll.dylib,16,0.07%
@executable_path/../Frameworks/QtXml.framework/Versions/4/QtXml,16,0.07%
@executable_path/../Frameworks/libdb_cxx-6.1.dylib,16,0.07%
@rpath/libios_manager.dylib,16,0.07%
@executable_path/../Frameworks/libz.1.dylib,16,0.07%
/System/Library/Frameworks/PDFKit.framework/Versions/A/PDFKit,16,0.07%
@loader_path/libirecovery.2.dylib,16,0.07%
@executable_path/../Frameworks/libminiupnpc.8.dylib,16,0.07%
@rpath/libitunes_manager.dylib,16,0.07%
@executable_path/../Frameworks/AMCVirusFramework.framework/Versions/A/AMCVirusFramework,16,0.07%
@executable_path/../Frameworks/libhidapi.0.dylib,16,0.07%
@executable_path/libplist.dylib,16,0.07%
@rpath/CrashReporter.framework/Versions/A/CrashReporter,16,0.07%
@rpath/PaymentMod.framework/Versions/A/PaymentMod,16,0.07%
@rpath/iOSDeviceManagerEX.framework/Versions/A/iOSDeviceManagerEX,16,0.07%
@rpath/libts_base.dylib,16,0.07%
@rpath/libmanagercdb.dylib,16,0.07%
@executable_path/../Frameworks/Pantomime.framework/Versions/A/Pantomime,15,0.07%
@rpath/QtConcurrent.framework/Versions/5/QtConcurrent,15,0.07%
@rpath/GoogleAnalyticsOSX.framework/Versions/A/GoogleAnalyticsOSX,15,0.07%
/usr/lib/swift/libswiftOSLog.dylib,15,0.07%
@rpath/LemonStat.framework/Versions/A/LemonStat,15,0.07%
/System/Library/Frameworks/OSLog.framework/Versions/A/OSLog,15,0.07%
@rpath/LemonFileMove.framework/Versions/A/LemonFileMove,15,0.07%
@rpath/LemonHardware.framework/Versions/A/LemonHardware,15,0.07%
@rpath/LemonUninstaller.framework/Versions/A/LemonUninstaller,15,0.07%
/usr/lib/swift/libswiftUniformTypeIdentifiers.dylib,15,0.07%
@rpath/QMAppLoginItemManage.framework/Versions/A/QMAppLoginItemManage,15,0.07%
@rpath/LemonPhotoClean.framework/Versions/A/LemonPhotoClean,15,0.07%
@executable_path/../Frameworks/QtWebKit.framework/Versions/5/QtWebKit,15,0.07%
@executable_path/../Frameworks/AMCSysPrefsOptzFramework.framework/Versions/A/AMCSysPrefsOptzFramework,15,0.07%
@rpath/LemonBigOldFile.framework/Versions/A/LemonBigOldFile,15,0.07%
/System/Library/Frameworks/Carbon.framework/Carbon,15,0.07%
@executable_path/../Frameworks/QtQuick.framework/Versions/5/QtQuick,15,0.07%
@loader_path/../Frameworks/libzip.dylib,15,0.07%
@rpath/libSyncfuntion.dylib,15,0.07%
/usr/lib/libxar.1.dylib,15,0.07%
@rpath/LemonPrivacyClean.framework/Versions/A/LemonPrivacyClean,15,0.07%
@executable_path/liblibirecoveryMac2.dylib,15,0.07%
@rpath/LemonLoginItemManager.framework/Versions/A/LemonLoginItemManager,15,0.07%
@executable_path/../Frameworks/QtWebKitWidgets.framework/Versions/5/QtWebKitWidgets,15,0.07%
@rpath/QMUICommon.framework/Versions/A/QMUICommon,15,0.07%
/System/Library/Frameworks/CFNetwork.framework/CFNetwork,15,0.07%
@rpath/QMCoreFunction.framework/Versions/A/QMCoreFunction,15,0.07%
@rpath/ConeMacKit.framework/Versions/A/ConeMacKit,15,0.07%
@rpath/LemonDuplicateFile.framework/Versions/A/LemonDuplicateFile,15,0.07%
@rpath/libswiftCoreLocation.dylib,15,0.07%
@rpath/LemonNetSpeed.framework/Versions/A/LemonNetSpeed,15,0.07%
@loader_path/libzip.5.5.dylib,14,0.06%
@loader_path/libla_tatsu.dylib,14,0.06%
@loader_path/libla_usbmuxd.dylib,14,0.06%
@loader_path/libla_common.dylib,14,0.06%
@loader_path/libla_imobiledevice.dylib,14,0.06%
@loader_path/libla_irecovery.dylib,14,0.06%
@loader_path/libla_plist.dylib,14,0.06%
@rpath/QtMultimedia.framework/Versions/5/QtMultimedia,14,0.06%
@loader_path/../Frameworks/libfragmentzip.dylib,14,0.06%
@rpath/weqw.dylib,14,0.06%
/usr/local/opt/libevent/lib/libevent_pthreads-2.1.6.dylib,14,0.06%
@loader_path/../Frameworks/libplist.dylib,14,0.06%
@executable_path/../Frameworks/libgcrypt.20.dylib,14,0.06%
@@HOMEBREW_PREFIX@@/opt/pcre/lib/libpcre.1.dylib,14,0.06%
@executable_path/../Frameworks/QtDBus.framework/Versions/4/QtDBus,14,0.06%
@rpath/MonitorFramwork.framework/Versions/A/MonitorFramwork,14,0.06%
/System/Library/Frameworks/AppleScriptObjC.framework/Versions/A/AppleScriptObjC,14,0.06%
@rpath/libavformat.framework/libavformat,13,0.06%
@rpath/libavutil.framework/libavutil,13,0.06%
@executable_path/../Frameworks/libjsoncpp.24.dylib,13,0.06%
/usr/local/opt/qt/lib/QtDBus.framework/Versions/5/QtDBus,13,0.06%
@rpath/ffmpegkit.framework/ffmpegkit,13,0.06%
@executable_path/../Frameworks/libboost_serialization-mt.dylib,13,0.06%
@rpath/libswscale.framework/libswscale,13,0.06%
@rpath/libavcodec.framework/libavcodec,13,0.06%
@rpath/libswresample.framework/libswresample,13,0.06%
@rpath/../Frameworks/libts_client.dylib,13,0.06%
/usr/lib/libSystem.dylib,13,0.06%
@rpath/LogUI.framework/Versions/A/LogUI,13,0.06%
@loader_path/libirecovery-1.0.3.dylib,13,0.06%
@loader_path/../Frameworks/libirecovery.dylib,13,0.06%
@rpath/libavdevice.framework/libavdevice,13,0.06%
@loader_path/../Frameworks/libcurl.dylib,13,0.06%
/opt/homebrew/opt/hwloc/lib/libhwloc.15.dylib,13,0.06%
/System/Library/Frameworks/QuartzCore.framework/QuartzCore,13,0.06%
/usr/local/opt/sqlite/lib/libsqlite3.0.dylib,13,0.06%
@rpath/libtpasscheck.dylib,13,0.06%
@rpath/libavfilter.framework/libavfilter,13,0.06%
@executable_path/../Frameworks/libpasslockLib.dylib,13,0.06%
@rpath/Utility.dylib,13,0.06%
@rpath/GoogleAnalyticsTracker.framework/Versions/A/GoogleAnalyticsTracker,13,0.06%
@rpath/Electron Framework.framework/Electron Framework,13,0.06%
/System/Library/Frameworks/CoreLocation.framework/CoreLocation,13,0.06%
@loader_path/../Frameworks/libusbmuxd.dylib,12,0.05%
/System/Library/Frameworks/SystemConfiguration.framework/SystemConfiguration,12,0.05%
@executable_path/../Frameworks/PhotoSweeper_iobit.framework/Versions/A/PhotoSweeper_iobit,12,0.05%
@loader_path/libusbmuxd.6.dylib,12,0.05%
/System/Library/Frameworks/Vision.framework/Versions/A/Vision,12,0.05%
@loader_path/libplist.3.dylib,12,0.05%
@loader_path/libimobiledevice.6.dylib,12,0.05%
@executable_path/../Frameworks/libboost_thread.dylib,12,0.05%
@@HOMEBREW_PREFIX@@/opt/openssl/lib/libcrypto.1.0.0.dylib,12,0.05%
@executable_path/../Frameworks/libboost_regex.dylib,12,0.05%
@executable_path/libssl.3.dylib,12,0.05%
@executable_path/libgmp.10.dylib,12,0.05%
@executable_path/libcrypto.3.dylib,12,0.05%
@rpath/ORSSerial.framework/Versions/A/ORSSerial,12,0.05%
/System/Library/Frameworks/Social.framework/Versions/A/Social,12,0.05%
@loader_path/../Frameworks/libssl.dylib,12,0.05%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_system.dylib,12,0.05%
@executable_path/libcrypto.1.0.0.dylib,12,0.05%
@@HOMEBREW_PREFIX@@/opt/miniupnpc/lib/libminiupnpc.17.dylib,12,0.05%
@executable_path/../Frameworks/libboost_serialization.dylib,12,0.05%
@rpath/libzmq.5.1.5.dylib,12,0.05%
@executable_path/libirecovery2.dylib,12,0.05%
@rpath/AccountMod.framework/Versions/A/AccountMod,12,0.05%
@rpath/AHLaunchCtl.framework/Versions/A/AHLaunchCtl,12,0.05%
@executable_path/libz.1.dylib,12,0.05%
@executable_path/../Frameworks/QtCharts.framework/Versions/5/QtCharts,12,0.05%
@rpath/GPUImage.framework/Versions/A/GPUImage,12,0.05%
/System/Library/Frameworks/Python.framework/Versions/2.7/Python,12,0.05%
@loader_path/../Frameworks/libcrypto.dylib,12,0.05%
@executable_path/libusbmuxd2.dylib,12,0.05%
@executable_path/libimobiledevice2.dylib,12,0.05%
@executable_path/libimobiledevice-glue2.dylib,12,0.05%
@executable_path/../Frameworks/Growl.framework/Versions/A/Growl,12,0.05%
/System/Library/Frameworks/ScreenSaver.framework/Versions/A/ScreenSaver,12,0.05%
@rpath/ZBUIKit.framework/Versions/A/ZBUIKit,11,0.05%
@rpath/SwiftCrashFramework.framework/Versions/A/SwiftCrashFramework,11,0.05%
@@HOMEBREW_PREFIX@@/opt/readline/lib/libreadline.8.dylib,11,0.05%
@executable_path/../Frameworks/libboost_regex-mt.dylib,11,0.05%
/usr/lib/libcrypto.35.dylib,11,0.05%
/usr/lib/libssl.35.dylib,11,0.05%
@rpath/libonnxruntime.1.17.3.dylib,11,0.05%
@rpath/GBDeviceInfo.framework/Versions/A/GBDeviceInfo,11,0.05%
/System/Library/Frameworks/QuickLookThumbnailing.framework/Versions/A/QuickLookThumbnailing,11,0.05%
@loader_path/libfirebaseonlineconfig.dylib,11,0.05%
@rpath/QtMultimediaWidgets.framework/Versions/5/QtMultimediaWidgets,11,0.05%
/opt/homebrew/opt/openssl@1.1/lib/libcrypto.1.1.dylib,11,0.05%
@executable_path/../Frameworks/libunbound.8.dylib,11,0.05%
/opt/homebrew/opt/zeromq/lib/libzmq.5.dylib,11,0.05%
@executable_path/../Frameworks/libboost_date_time.dylib,11,0.05%
@executable_path/../Frameworks/libminiupnpc.9.dylib,11,0.05%
/opt/homebrew/opt/openssl@1.1/lib/libssl.1.1.dylib,11,0.05%
/usr/local/opt/qrencode/lib/libqrencode.4.dylib,11,0.05%
@rpath/pop.framework/Versions/A/pop,11,0.05%
@rpath/RESCommon.framework/Versions/A/RESCommon,11,0.05%
/usr/local/lib/libirecovery-1.0.3.dylib,11,0.05%
@rpath/MacBoosterRegister.framework/Versions/A/MacBoosterRegister,11,0.05%
@rpath/SQLite.framework/Versions/A/SQLite,10,0.05%
/System/Library/Frameworks/MobileCoreServices.framework/MobileCoreServices,10,0.05%
@executable_path/../Frameworks/libprotobuf.23.dylib,10,0.05%
@executable_path/../Frameworks/libssl.3.dylib,10,0.05%
/usr/local/opt/libzip/lib/libzip.5.dylib,10,0.05%
/usr/lib/libc++abi.dylib,10,0.05%
@rpath/HockeySDK.framework/Versions/A/HockeySDK,10,0.05%
/usr/local/lib/libplist-2.0.3.dylib,10,0.05%
/usr/local/lib/libusbmuxd-2.0.6.dylib,10,0.05%
@@HOMEBREW_PREFIX@@/opt/hwloc/lib/libhwloc.15.dylib,10,0.05%
/usr/local/lib/libimobiledevice-1.0.6.dylib,10,0.05%
@rpath/MDPSplitView.framework/Versions/A/MDPSplitView,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_plist.dylib,10,0.05%
@executable_path/../Frameworks/libcrypto.3.dylib,10,0.05%
@@HOMEBREW_PREFIX@@/opt/openssl/lib/libssl.1.0.0.dylib,10,0.05%
@rpath/LzmaSDK_ObjC.framework/Versions/A/LzmaSDK_ObjC,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_common.dylib,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_imobiledevice.dylib,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_irecovery.dylib,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_tatsu.dylib,10,0.05%
/System/Library/Frameworks/CoreMedia.framework/CoreMedia,10,0.05%
@loader_path/../Frameworks/ToolsFrameworks/libla_usbmuxd.dylib,10,0.05%
@executable_path/../Frameworks/libprotobuf.14.dylib,10,0.05%
/usr/lib/libbsm.0.dylib,10,0.05%
@rpath/ZBFoundation.framework/Versions/A/ZBFoundation,10,0.05%
@executable_path/../Frameworks/GAJavaScriptTracker.framework/Versions/A/GAJavaScriptTracker,10,0.05%
@rpath/SnapKit.framework/Versions/A/SnapKit,10,0.05%
@loader_path/../Frameworks/FeedbackReporter.framework/Versions/A/FeedbackReporter,10,0.05%
@rpath/iMyMacBundle.framework/Versions/A/iMyMacBundle,10,0.05%
@executable_path/../Frameworks/libMediaConverter.dylib,10,0.05%
/opt/homebrew/opt/libevent/lib/libevent_pthreads-2.1.7.dylib,10,0.05%
@executable_path/../Frameworks/libSocket.dylib,10,0.05%
@executable_path/../Frameworks/libMediaDownload.dylib,10,0.05%
@rpath/DevMateKit.framework/Versions/A/DevMateKit,10,0.05%
@executable_path/../Frameworks/libLzmaSDK.dylib,10,0.05%
@executable_path/../Frameworks/libusbmuxd-2.0.6.dylib,10,0.05%
/opt/local/lib/libpcre.1.dylib,10,0.05%
/opt/homebrew/opt/libevent/lib/libevent-2.1.7.dylib,10,0.05%
@@HOMEBREW_PREFIX@@/opt/libevent/lib/libevent_pthreads-2.1.7.dylib,10,0.05%
@@HOMEBREW_PREFIX@@/opt/libevent/lib/libevent-2.1.7.dylib,10,0.05%
@executable_path/../Frameworks/libevent-2.0.5.dylib,9,0.04%
@executable_path/libssl.1.0.0.dylib,9,0.04%
@executable_path/../Frameworks/ShortcutRecorder.framework/Versions/A/ShortcutRecorder,9,0.04%
/usr/local/opt/hidapi/lib/libhidapi.0.dylib,9,0.04%
/usr/local/lib/libimobiledevice-glue-1.0.0.dylib,9,0.04%
@rpath/LetsMove.framework/Versions/A/LetsMove,9,0.04%
@@HOMEBREW_PREFIX@@/opt/libevent/lib/libevent-2.1.6.dylib,9,0.04%
@loader_path/../Frameworks/libimobiledevice.dylib,9,0.04%
@executable_path/libcurl.dylib,9,0.04%
@executable_path/../Frameworks/libXlsx.dylib,9,0.04%
/opt/local/lib/libhwloc.15.dylib,9,0.04%
/opt/homebrew/opt/berkeley-db@4/lib/libdb_cxx-4.8.dylib,9,0.04%
@executable_path/openssl/lib/libssl.1.0.0.dylib,9,0.04%
@executable_path/libplist-2.0.3.dylib,9,0.04%
@rpath/SMJobKit.framework/Versions/A/SMJobKit,9,0.04%
@executable_path/../Frameworks/Connection.framework/Versions/A/Connection,9,0.04%
@rpath/EMCLoginItem.framework/Versions/A/EMCLoginItem,9,0.04%
/usr/local/opt/miniupnpc/lib/libminiupnpc.16.dylib,9,0.04%
/opt/homebrew/opt/miniupnpc/lib/libminiupnpc.17.dylib,9,0.04%
@rpath/ReactiveCocoa.framework/ReactiveCocoa,9,0.04%
/System/Library/Frameworks/UserNotifications.framework/Versions/A/UserNotifications,9,0.04%
/opt/local/libexec/openssl3/lib/libcrypto.3.dylib,9,0.04%
@rpath/Reachability.framework/Versions/A/Reachability,9,0.04%
@rpath/MASPreferences.framework/Versions/A/MASPreferences,9,0.04%
@rpath/libResourceRenewDll.dylib,9,0.04%
@rpath/libConfigurer64.dylib,9,0.04%
/opt/local/libexec/openssl3/lib/libssl.3.dylib,9,0.04%
@rpath/ZIPFoundation.framework/Versions/A/ZIPFoundation,9,0.04%
/System/Library/Frameworks/MediaPlayer.framework/MediaPlayer,9,0.04%
@executable_path/libwpsapi.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/libevent/lib/libevent_pthreads-2.1.6.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/xapian/lib/libxapian.30.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/glib/lib/libgobject-2.0.0.dylib,8,0.04%
/System/Library/Frameworks/AudioToolbox.framework/AudioToolbox,8,0.04%
@rpath/liblibimobiledevice2.dylib,8,0.04%
@rpath/liblibirecoveryMac2.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/gmime/lib/libgmime-3.0.0.dylib,8,0.04%
@executable_path/openssl/lib/libcrypto.1.0.0.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/glib/lib/libglib-2.0.0.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/glib/lib/libgio-2.0.0.dylib,8,0.04%
/System/Library/Frameworks/SwiftUI.framework/SwiftUI,8,0.04%
/usr/local/opt/jansson/lib/libjansson.4.dylib,8,0.04%
@@HOMEBREW_PREFIX@@/opt/guile/lib/libguile-3.0.1.dylib,8,0.04%
@executable_path/../Frameworks/libboost_iostreams-mt.dylib,8,0.04%
@rpath/libboost_chrono-mt-d-x64.dylib,8,0.04%
@rpath/libboost_thread-mt-d-x64.dylib,8,0.04%
/System/Library/Frameworks/AVFoundation.framework/AVFoundation,8,0.04%
@rpath/libboost_system-mt-d-x64.dylib,8,0.04%
@rpath/libboost_serialization-mt-d-x64.dylib,8,0.04%
@@HOMEBREW_CELLAR@@/aircrack-ng/1.7_1/lib/libaircrack-osdep-1.7.0.dylib,8,0.04%
@rpath/libboost_regex-mt-d-x64.dylib,8,0.04%
@rpath/libboost_program_options-mt-d-x64.dylib,8,0.04%
/System/Library/Frameworks/AdSupport.framework/Versions/A/AdSupport,8,0.04%
@rpath/libboost_filesystem-mt-d-x64.dylib,8,0.04%
@rpath/RESLicensing.framework/Versions/A/RESLicensing,8,0.04%
@rpath/libboost_date_time-mt-d-x64.dylib,8,0.04%
@rpath/libboost_atomic-mt-d-x64.dylib,8,0.04%
/System/Library/Frameworks/ForceFeedback.framework/Versions/A/ForceFeedback,8,0.04%
@executable_path/../../jansson/lib/libjansson.4.dylib,8,0.04%
/System/Library/Frameworks/CoreMIDI.framework/Versions/A/CoreMIDI,8,0.04%
@rpath/InfoButton.framework/Versions/A/InfoButton,8,0.04%
@rpath/Fab.framework/Versions/A/Fab,8,0.04%
/usr/lib/swift/libswiftCoreML.dylib,8,0.04%
/System/Library/Frameworks/Combine.framework/Combine,8,0.04%
@@HOMEBREW_PREFIX@@/opt/miniupnpc/lib/libminiupnpc.16.dylib,7,0.03%
/usr/local/opt/qt@4/lib/QtCore.framework/Versions/4/QtCore,7,0.03%
@rpath/MacMasterBundle.framework/Versions/A/MacMasterBundle,7,0.03%
/usr/local/opt/qt@4/lib/QtGui.framework/Versions/4/QtGui,7,0.03%
/usr/local/Cellar/aircrack-ng/1.7_1/lib/libaircrack-osdep-1.7.0.dylib,7,0.03%
@rpath/FirebaseCrashlytics.framework/Versions/A/FirebaseCrashlytics,7,0.03%
/usr/lib/swift/libswiftCoreData.dylib,7,0.03%
/usr/local/lib/libz.1.dylib,7,0.03%
@executable_path/../../openssl/lib/libssl.0.9.8.dylib,7,0.03%
@executable_path/libs/libgomp.1.dylib,7,0.03%
@executable_path/../Frameworks/QtMacExtras.framework/Versions/5/QtMacExtras,7,0.03%
/System/Library/Frameworks/OpenGLES.framework/OpenGLES,7,0.03%
/System/Library/Frameworks/OpenAL.framework/OpenAL,7,0.03%
@executable_path/../../openssl/lib/libcrypto.0.9.8.dylib,7,0.03%
@rpath/GPlayThrough.dylib,7,0.03%
@executable_path/../Frameworks/libboost_date_time-mt.dylib,7,0.03%
@executable_path/libs/libstdc++.6.dylib,7,0.03%
@rpath/Bolts.framework/Versions/A/Bolts,7,0.03%
@executable_path/libs/libgcc_s.1.dylib,7,0.03%
/usr/local/opt/protobuf/lib/libprotobuf.15.dylib,7,0.03%
/usr/lib/libpcre.0.dylib,7,0.03%
/usr/local/opt/libusb/lib/libusb-1.0.0.dylib,7,0.03%
@rpath/PMMFramework.framework/Versions/A/PMMFramework,7,0.03%
@rpath/NeuUITools.framework/Versions/A/NeuUITools,7,0.03%
@rpath/NeuUI.framework/Versions/A/NeuUI,7,0.03%
libz.1.dylib,7,0.03%
@executable_path/mach_inject_bundle.framework/Versions/A/mach_inject_bundle,7,0.03%
/System/Library/Frameworks/CoreVideo.framework/CoreVideo,7,0.03%
@executable_path/../Frameworks/libsqlite3.7.5.dylib,7,0.03%
/System/Library/Frameworks/CoreServices.framework/CoreServices,7,0.03%
/usr/local/opt/libsodium/lib/libsodium.23.dylib,7,0.03%
@rpath/Parse.framework/Versions/A/Parse,7,0.03%
@executable_path/../Frameworks/libpng16.16.dylib,7,0.03%
@rpath/RegisterFramework.framework/Versions/A/RegisterFramework,7,0.03%
@rpath/Starscream.framework/Versions/A/Starscream,7,0.03%
@rpath/SocketIO.framework/Versions/A/SocketIO,7,0.03%
@executable_path/../Frameworks/libssh2.1.dylib,7,0.03%
/opt/local/lib/libaircrack-osdep-1.7.0.dylib,7,0.03%
@rpath/Cartography.framework/Versions/A/Cartography,6,0.03%
@executable_path/../Frameworks/libSoftMgr.dylib,6,0.03%
@rpath/SwiftLog.framework/Versions/A/SwiftLog,6,0.03%
/System/Library/Frameworks/CoreMotion.framework/CoreMotion,6,0.03%
/System/Library/Frameworks/CoreTelephony.framework/CoreTelephony,6,0.03%
/opt/local/lib/libboost_chrono-mt.dylib,6,0.03%
@rpath/smsf.dylib,6,0.03%
/usr/local/opt/boost@1.55/lib/libboost_thread-mt.dylib,6,0.03%
/usr/local/opt/boost@1.55/lib/libboost_system-mt.dylib,6,0.03%
/usr/local/opt/boost@1.55/lib/libboost_program_options-mt.dylib,6,0.03%
/usr/local/opt/boost@1.55/lib/libboost_filesystem-mt.dylib,6,0.03%
/usr/lib/libexpat.1.dylib,6,0.03%
@executable_path/../Frameworks/QtMultimedia.framework/Versions/5/QtMultimedia,6,0.03%
@rpath/DataTrack.framework/Versions/A/DataTrack,6,0.03%
@@HOMEBREW_PREFIX@@/opt/protobuf/lib/libprotobuf.25.dylib,6,0.03%
@executable_path/../Frameworks/libplist.3.dylib,6,0.03%
@executable_path/lib/libimobiledevice-glue-1.0.0.dylib,6,0.03%
@rpath/liblzma.5.dylib,6,0.03%
@rpath/libfdk-aac.2.dylib,6,0.03%
/System/Library/Frameworks/CoreMediaIO.framework/Versions/A/CoreMediaIO,6,0.03%
@executable_path/lib/libirecovery-1.0.3.dylib,6,0.03%
@@HOMEBREW_PREFIX@@/opt/libsodium/lib/libsodium.26.dylib,6,0.03%
/usr/lib/libmd.dylib,6,0.03%
@executable_path/../Frameworks/libprotobuf.16.dylib,6,0.03%
@executable_path/lib/libplist-2.0.4.dylib,6,0.03%
@loader_path/../Resources/libConfigurer64.dylib,6,0.03%
@executable_path/../Frameworks/libevent_pthreads-2.0.5.dylib,6,0.03%
/System/Library/Frameworks/WebKit.framework/WebKit,6,0.03%
/usr/local/lib/libaircrack-osdep-1.6.0.dylib,6,0.03%
/usr/local/opt/libidn2/lib/libidn2.0.dylib,6,0.03%
/usr/lib/swift/libswiftIOKit.dylib,6,0.03%
@rpath/libplist-2.0.4.dylib,6,0.03%
@@HOMEBREW_PREFIX@@/opt/libuv/lib/libuv.1.dylib,6,0.03%
@rpath/libimobiledevice-glue-1.0.0.dylib,6,0.03%
@rpath/libimobiledevice-1.0.6.dylib,6,0.03%
@rpath/libopencv_imgproc.4.5.dylib,6,0.03%
@rpath/libopencv_imgcodecs.4.5.dylib,6,0.03%
@rpath/libopencv_core.4.5.dylib,6,0.03%
@rpath/RESCommonUI.framework/Versions/A/RESCommonUI,6,0.03%
/System/Library/Frameworks/SpriteKit.framework/Versions/A/SpriteKit,6,0.03%
/usr/lib/libmx.A.dylib,6,0.03%
/usr/local/lib/libirecovery.2.dylib,6,0.03%
/usr/local/lib/libimobiledevice.6.dylib,6,0.03%
@rpath/Assistant.framework/Versions/A/Assistant,5,0.02%
@rpath/CMMFoundation.framework/Versions/A/CMMFoundation,5,0.02%
@rpath/CMMCoreModule.framework/Versions/A/CMMCoreModule,5,0.02%
@rpath/libusbmuxd-2.0.7.dylib,5,0.02%
@rpath/Analytics.framework/Versions/A/Analytics,5,0.02%
@executable_path/libusbmuxd.dylib,5,0.02%
@rpath/CMMPhotos.framework/Versions/A/CMMPhotos,5,0.02%
@executable_path/libimobiledevice.dylib,5,0.02%
@executable_path/../Frameworks/MCARecLib.dylib,5,0.02%
@rpath/libswiftCoreAudio.dylib,5,0.02%
@@HOMEBREW_PREFIX@@/opt/boost/lib/libboost_unit_test_framework-mt.dylib,5,0.02%
@rpath/libtatsu.0.dylib,5,0.02%
